Country,CountryCode,year,Pop,MalePop,FemalePop,Migrants,MaleMigrants,FemaleMigrants,tot_africa,tot_asia,tot_oceania,tot_developed,tot_latam,Refugees
Burundi,108,2015,11179000,5524000,5655000,286810,141311,145499,262062,0,0,907,0,47805
Comoros,174,2015,788000,398000,391000,12555,6071,6484,9872,0,0,482,0,0
Djibouti,262,2015,888000,446000,442000,112351,59081,53270,105365,265,0,0,0,20530
Eritrea,232,2015,5228000,2619000,2609000,15941,8833,7108,11479,254,0,492,0,2898
Ethiopia,231,2015,99391000,49608000,49783000,1072949,547062,525887,627694,145,0,0,0,659524
Kenya,404,2015,46050000,23017000,23033000,1084357,541644,542713,931572,0,0,0,0,551352
Madagascar,450,2015,24235000,12082000,12153000,32075,18270,13805,10953,3560,0,8950,0,12
Malawi,454,2015,17215000,8593000,8622000,215158,102544,112614,164464,2390,0,1460,0,5844
Mauritius,480,2015,1273000,629000,644000,28585,15832,12753,2899,21326,0,2684,0,NA
Mayotte,175,2015,240000,118000,122000,76992,35623,41369,65346,0,0,10050,0,NA
Mozambique,508,2015,27978000,13666000,14312000,222928,107955,114973,135586,3716,0,4420,0,4445
Reunion,638,2015,861000,417000,444000,127209,64537,62672,30544,0,0,84056,0,NA
Rwanda,646,2015,11610000,5560000,6050000,441525,220017,221508,432675,0,0,0,0,72763
Seychelles,690,2015,96000,49000,48000,12791,8954,3837,2254,9150,0,949,43,NA
Somalia,706,2015,10787000,5368000,5419000,25291,13760,11531,2113,0,0,0,0,2502
South Sudan,728,2015,12340000,6179000,6161000,824122,420949,403173,820058,1414,0,0,0,NA
Uganda,800,2015,39032000,19507000,19525000,749471,374438,375033,691970,5661,0,4502,0,358453
United Republic of Tanzania,834,2015,53470000,26574000,26896000,261222,130404,130818,240772,8678,0,4188,0,90650
Zambia,894,2015,16212000,8094000,8118000,127915,64512,63403,95488,7829,0,4024,0,24666
Zimbabwe,716,2015,15603000,7688000,7915000,398866,227379,171487,249789,0,0,7560,0,5397
Angola,24,2015,25022000,12416000,12606000,106845,51461,55384,63941,0,0,15528,0,15474
Cameroon,120,2015,23344000,11672000,11672000,381984,186605,195379,373981,0,0,5394,0,264126
Central African Republic,140,2015,4900000,2415000,2485000,81598,43163,38435,47267,14,0,10795,0,7694
Chad,148,2015,14037000,7028000,7010000,516968,238140,278828,501261,0,0,1056,0,454882
Congo,178,2015,4620000,2311000,2309000,392996,215274,177722,363994,2091,0,15082,536,49152
Democratic Republic of the Congo,180,2015,77267000,38533000,38734000,545694,264445,281249,412919,0,0,0,0,119754
Equatorial Guinea,226,2015,845000,433000,412000,10825,5980,4845,2906,0,0,5840,0,NA
Gabon,266,2015,1725000,872000,853000,268384,153144,115240,245692,2103,0,11350,0,1013
Sao Tome and Principe,678,2015,190000,95000,96000,2394,1197,1197,857,0,0,118,0,NA
