uid,community_schooltype,county,api,variable_name,percentage
1,Suburban_E,Randy Gradishar,806.8649981,meals,43.6498825
1,Suburban_E,Randy Gradishar,806.8649981,colgrad,51.01522292
1,Suburban_E,Randy Gradishar,806.8649981,fullqual,98.13073023
2,Urban_E,Chris Ward,753.7191661,meals,15.50687929
2,Urban_E,Chris Ward,753.7191661,colgrad,32.22145947
2,Urban_E,Chris Ward,753.7191661,fullqual,95.84948446
3,Urban_M,Keith Byars,531.9282811,meals,84.52188193
3,Urban_M,Keith Byars,531.9282811,colgrad,4.253313439
3,Urban_M,Keith Byars,531.9282811,fullqual,92.99061363
4,Suburban_E,Jack Tatum,566.3830434,meals,87.39884256
4,Suburban_E,Jack Tatum,566.3830434,colgrad,2.709309832
4,Suburban_E,Jack Tatum,566.3830434,fullqual,78.1672505
5,Urban_E,Charles Bolen,533.8504943,meals,98.51345306
5,Urban_E,Charles Bolen,533.8504943,colgrad,2.406662114
5,Urban_E,Charles Bolen,533.8504943,fullqual,65.27750143
6,Rural_E,Howard Cassady,593.581753,meals,86.50503596
6,Rural_E,Howard Cassady,593.581753,colgrad,8.102565698
6,Rural_E,Howard Cassady,593.581753,fullqual,92.22017966
7,Urban_E,Pat Elflein,837.0981891,meals,17.41548018
7,Urban_E,Pat Elflein,837.0981891,colgrad,20.77818552
7,Urban_E,Pat Elflein,837.0981891,fullqual,99.98251728
8,Urban_E,Tom Cousineau,801.0415258,meals,35.74745967
8,Urban_E,Tom Cousineau,801.0415258,colgrad,11.58153421
8,Urban_E,Tom Cousineau,801.0415258,fullqual,99.469115
9,Suburban_E,Tom Cousineau,751.870728,meals,53.14766965
9,Suburban_E,Tom Cousineau,751.870728,colgrad,24.83359458
9,Suburban_E,Tom Cousineau,751.870728,fullqual,90.2720901
10,Urban_E,Quinn Pitcock,836.0335306,meals,15.95272219
10,Urban_E,Quinn Pitcock,836.0335306,colgrad,27.43941147
10,Urban_E,Quinn Pitcock,836.0335306,fullqual,99.92742151
11,Urban_E,Andy Katzenmoyer,808.6258379,meals,29.58022908
11,Urban_E,Andy Katzenmoyer,808.6258379,colgrad,23.82977928
11,Urban_E,Andy Katzenmoyer,808.6258379,fullqual,98.18571507
12,Suburban_E,Bob White,872.3272836,meals,12.01496394
12,Suburban_E,Bob White,872.3272836,colgrad,33.367568
12,Suburban_E,Bob White,872.3272836,fullqual,91.99934009
13,Suburban_E,Esco Sarkkinen,625.7169833,meals,57.45035098
13,Suburban_E,Esco Sarkkinen,625.7169833,colgrad,3.656396993
13,Suburban_E,Esco Sarkkinen,625.7169833,fullqual,69.75602048
14,Urban_M,Warren Namling,519.6670722,meals,86.83308209
14,Urban_M,Warren Namling,519.6670722,colgrad,10.74412766
14,Urban_M,Warren Namling,519.6670722,fullqual,87.41322967
15,Rural_E,Iolas Huffman,711.7318763,meals,33.53532332
15,Rural_E,Iolas Huffman,711.7318763,colgrad,34.59632624
15,Rural_E,Iolas Huffman,711.7318763,fullqual,68.05139989
16,Urban_E,Dave Foley,573.6293778,meals,84.92514382
16,Urban_E,Dave Foley,573.6293778,colgrad,3.779560316
16,Urban_E,Dave Foley,573.6293778,fullqual,56.42839301
17,Suburban_M,James Laurinaitis,737.1071895,meals,35.10310287
17,Suburban_M,James Laurinaitis,737.1071895,colgrad,31.58059221
17,Suburban_M,James Laurinaitis,737.1071895,fullqual,79.64087366
18,Urban_E,Korey Stringer,682.6589533,meals,51.26389321
18,Urban_E,Korey Stringer,682.6589533,colgrad,10.00165123
18,Urban_E,Korey Stringer,682.6589533,fullqual,88.97022578
19,Urban_E,Joey Bosa,689.7918413,meals,41.83909346
19,Urban_E,Joey Bosa,689.7918413,colgrad,31.73861662
19,Urban_E,Joey Bosa,689.7918413,fullqual,95.65815703
20,Suburban_E,Ken Fritz,576.6853641,meals,73.61430575
20,Suburban_E,Ken Fritz,576.6853641,colgrad,1.683575756
20,Suburban_E,Ken Fritz,576.6853641,fullqual,96.16797319
21,Urban_E,Shawn Springs,762.0624373,meals,44.06949671
21,Urban_E,Shawn Springs,762.0624373,colgrad,38.034399
21,Urban_E,Shawn Springs,762.0624373,fullqual,98.80157608
22,Urban_E,Chris Spielman,633.1866334,meals,60.03781541
22,Urban_E,Chris Spielman,633.1866334,colgrad,12.60750227
22,Urban_E,Chris Spielman,633.1866334,fullqual,68.54383864
23,Suburban_H,Keith Byars,518.7205552,meals,78.46312684
23,Suburban_H,Keith Byars,518.7205552,colgrad,4.803883916
23,Suburban_H,Keith Byars,518.7205552,fullqual,92.03301422
24,Urban_H,Pat Elflein,657.5434165,meals,60.8681533
24,Urban_H,Pat Elflein,657.5434165,colgrad,19.53994804
24,Urban_H,Pat Elflein,657.5434165,fullqual,87.85734475
25,Urban_E,Orlando Pace,717.512498,meals,28.92605837
25,Urban_E,Orlando Pace,717.512498,colgrad,23.99187387
25,Urban_E,Orlando Pace,717.512498,fullqual,98.96660483
26,Suburban_E,Archie Griffin,806.5366092,meals,3.151250491
26,Suburban_E,Archie Griffin,806.5366092,colgrad,18.28412296
26,Suburban_E,Archie Griffin,806.5366092,fullqual,96.22229439
27,Suburban_E,Archie Griffin,694.8537167,meals,32.26898308
27,Suburban_E,Archie Griffin,694.8537167,colgrad,4.645794609
27,Suburban_E,Archie Griffin,694.8537167,fullqual,89.17361393
28,Suburban_M,Bob White,873.9358564,meals,1.417651726
28,Suburban_M,Bob White,873.9358564,colgrad,53.11801549
28,Suburban_M,Bob White,873.9358564,fullqual,73.83031801
29,Urban_H,Wyatt Davis,556.8071204,meals,70.87116663
29,Urban_H,Wyatt Davis,556.8071204,colgrad,7.464075177
29,Urban_H,Wyatt Davis,556.8071204,fullqual,70.67644835
30,Rural_M,Jeffrey Okudah,694.7043871,meals,34.7683531
30,Rural_M,Jeffrey Okudah,694.7043871,colgrad,22.85824542
30,Rural_M,Jeffrey Okudah,694.7043871,fullqual,61.36498227
31,Urban_E,Lecharles Bentley,550.9068037,meals,65.14087408
31,Urban_E,Lecharles Bentley,550.9068037,colgrad,7.130294426
31,Urban_E,Lecharles Bentley,550.9068037,fullqual,91.61022173
32,Suburban_E,A.J. Hawk,622.4097243,meals,85.66561537
32,Suburban_E,A.J. Hawk,622.4097243,colgrad,8.357857369
32,Suburban_E,A.J. Hawk,622.4097243,fullqual,89.73665654
33,Urban_E,Mike Nugent,777.7136019,meals,23.99856728
33,Urban_E,Mike Nugent,777.7136019,colgrad,38.44562223
33,Urban_E,Mike Nugent,777.7136019,fullqual,92.71567291
34,Suburban_E,Jim Stillwagon,690.3318607,meals,78.43742822
34,Suburban_E,Jim Stillwagon,690.3318607,colgrad,28.53323995
34,Suburban_E,Jim Stillwagon,690.3318607,fullqual,95.97072918
35,Suburban_E,Iolas Huffman,727.4478413,meals,33.46418815
35,Suburban_E,Iolas Huffman,727.4478413,colgrad,24.43617614
